id,user,created_at,text
1048665066319560705,Stretford Enders,Sat Oct 06 20:03:29 +0000 2018,"I don't care if it's only Newcastle, I don't care if it's only papering over the cracks, it's just great to see us… https://t.co/mC11Blgm3R"
1048665062662135810,Unitereddevils,Sat Oct 06 20:03:28 +0000 2018,Who would like to see this man gone from our club such passionate about this club great to have you Jose! #mufc https://t.co/crcQZcd3l0
1048665058904092672,🇾🇪Shiven Nayager🔰,Sat Oct 06 20:03:27 +0000 2018,"So put him on when there's a minute left and he'll win us the game?
Done.
#mufc https://t.co/R0A9f5ITx4"
1048665045209632776,Laurent Vieliza,Sat Oct 06 20:03:24 +0000 2018,"The best thing about @ManUtd fans is that, they will always sign jose mourinhos name even if the team is losing two… https://t.co/lBM8V8jzU9"
1048665030798008321,Ciardozzi,Sat Oct 06 20:03:21 +0000 2018,"Let's hear from the scorer of our first goal v Newcastle, JuanMata8...

#MUFC #MUNNEW https://t.co/1INvrmGQzK"
1048664996891299841,Jess Armstrong,Sat Oct 06 20:03:13 +0000 2018,"@Alexis_Sanchez @juanmata8 Absolutely awesome today! My favourite players, should always be on the pitch!! So much… https://t.co/Ibn1kF7IXq"
1048664945829842944,Ifasco25,Sat Oct 06 20:03:00 +0000 2018,"This is our true colour and this who we are, well done Pogba and co @UnitedStandMUFC @ManUtd_Es
#MANNEW #mufc… https://t.co/cFU3oKhFiE"
1048664927374925824,Dazzo,Sat Oct 06 20:02:56 +0000 2018,"I was actually hoping #United lost so we could finally sack Jose.

Instead with have to deal with this mess for at least another week. #MUFC"
1048664913248505859,Mairéad,Sat Oct 06 20:02:53 +0000 2018,"What a night. Win, lose or draw you stick by your team. You stick by your manager. Most of all, you stick together.… https://t.co/IvNefGhbBW"
1048664904662732801,Tom Andrews,Sat Oct 06 20:02:51 +0000 2018,"I'm such a mixture of emotions with @ManUtd at the moment, absolutely terrible at times and then flashes of brillia… https://t.co/HxxIQBKOnq"
1048664883582197762,Tony Nunes ⚽️,Sat Oct 06 20:02:46 +0000 2018,@StanCollymore The second half should be further proof of why #mufc should ditch Mourinho’s services as the players… https://t.co/PyuYrIbIzZ
1048664879949910017,marvyn browning,Sat Oct 06 20:02:45 +0000 2018,"Don’t give a shit this was a great second half, playing like we’ve nothing to lose! Proper United way that! #MUFC"
1048664852963741698,Linda ❤🔴⚪⚫❤,Sat Oct 06 20:02:38 +0000 2018,"Even those who dont normally,
 did in the North Stand #justliketheolddays #mufc https://t.co/3stIq4UrM8"
1048664839982370817,Special One,Sat Oct 06 20:02:35 +0000 2018,"Pogba vs Newcastle:
3 shots on target
89% passing accuracy
87 passes completed
3 aerial duels won
111 touches 
2 dr… https://t.co/Sm0kOXNz8w"
1048664839055400960,REMY CLOUDS,Sat Oct 06 20:02:35 +0000 2018,@caroline4real To #MUFC players.
1048664835817459713,Dermot Keyes,Sat Oct 06 20:02:34 +0000 2018,#MUFC have no divine right to success. Just show some heart and the fans will never turn the other cheek. Keep the… https://t.co/YvoWy8A6JT
1048664821066092545,Dale Kopping,Sat Oct 06 20:02:31 +0000 2018,"Let's hear from the scorer of our first goal v Newcastle, JuanMata8...

#MUFC #MUNNEW https://t.co/zlWGzlQVrI"
1048664809066123274,Slots+Casino+Sports,Sat Oct 06 20:02:28 +0000 2018,"Betfair £30 Enhanced Odds Offer Manchester United F.C
New Customers #MUFC

premier league #PL
Man Utd v Newcastle… https://t.co/ObSaDw8ZgD"
1048664779588624386,Nolan Short,Sat Oct 06 20:02:21 +0000 2018,It's kinda ironic that Pogba and Martial (two guys who have at times been out of favour by the skipper and had both… https://t.co/4bbJ0xuT5Y
1048664774710624257,ONEOTH3R,Sat Oct 06 20:02:20 +0000 2018,"The Game | Put You On The Game

Dedicated to #MUFC https://t.co/AqKJ4U2gX5"
1048664769715003392,Parin,Sat Oct 06 20:02:19 +0000 2018,"That's the @ManUtd I love!!
Finally some passion from our players.
Let's get a winning streak going now.
#JoseMourinho 
#MUNNEW 
#mufc"
